processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBMA4677-13	HM233195	3578540	HM233195	HM233195	Mined from GenBank, NCBI		BOLD:ACH3541	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666074	Lepus sinensis																																														
GBMA4682-13	HM233190	3578545	HM233190	HM233190	Mined from GenBank, NCBI		BOLD:ACH3276	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666073	Lepus yarkandensis																																														
GBMA4700-13	HM233172	3578563	HM233172	HM233172	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4719-13	HM233153	3578582	HM233153	HM233153	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4749-13	HM233122	3578612	HM233122	HM233122	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																																									
GBMA4751-13	HM233120	3578614	HM233120	HM233120	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666072	Lepus mandshuricus																																														
GBMA4756-13	HM233115	3578619	HM233115	HM233115	Mined from GenBank, NCBI		BOLD:ACH3576	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666071	Lepus comus																																														
GBMA4761-13	HM233109	3578624	HM233109	HM233109	Mined from GenBank, NCBI		BOLD:ACH3048	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666071	Lepus comus																																														
GBMA4766-13	HM233104	3578629	HM233104	HM233104	Mined from GenBank, NCBI		BOLD:ACH3277	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666070	Lepus oiostolus																																														
GBMA4771-13	HM233099	3578634	HM233099	HM233099	Mined from GenBank, NCBI		BOLD:ACH3275	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648658	Lepus hainanus																																														
GBMA4775-13	HM233095	3578638	HM233095	HM233095	Mined from GenBank, NCBI		BOLD:ACH3275	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648658	Lepus hainanus																																														
GBMIN41987-14	HG763833	5108420		HG763833	Mined from GenBank, NCBI		BOLD:ACQ4224	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648657	Lepus peguensis																																														
GBMIN43512-14	KJ192836	5109945		KJ192836	Mined from GenBank, NCBI		BOLD:ACQ0641	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648690	Lepus microtis																							LvicT1295																							
GBMNA12981-19	KJ397613	9630074		KJ397613	Mined from GenBank, NCBI		BOLD:ADC8248	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	708393	Lepus americanus																									38.8208	-96.3316	Coordinates from country centroid						United States													
GBMND20009-21	MN175840	12797114		MN175840	Mined from GenBank, NCBI		BOLD:AEH4747	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis	1069472	Lepus capensis mediterraneus																															Morocco													
GBMND20012-21	MN175843	12797117		MN175843	Mined from GenBank, NCBI		BOLD:AEH4747	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis	1069472	Lepus capensis mediterraneus																															Morocco													
GBMND20015-21	MN175846	12797120		MN175846	Mined from GenBank, NCBI		BOLD:AEH4747	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis	1069472	Lepus capensis mediterraneus																															Morocco													
GBMNF2392-22	OL374039	15264823	AKT4	OL374039	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2394-22	OL374030	15264825	KS1	OL374030	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2399-22	OL374031	15264830	KS4	OL374031	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2400-22	OL374032	15264831	KS7	OL374032	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2408-22	OL374008	15264839	TX19	OL374008	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
MXBRO295-12	CIBNOR-16463.1	2664937	16463	768_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo								F	S						27.611	-113.028			1187				Mexico	Baja California Sur	San Francisco de la Sierra	Palo de Rayo, Sierra de San Francisco	Palo de Rayo, Sierra de San Francisco									
MXBRO297-12	CIBNOR-17670.1	2664939	17670	5357_STAC	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Ticul Alvarez								F	S						24.055	-110.976			10				Mexico	Baja California Sur	Reforma Agraria	7 km S, 6 km W Reforma Agraria	7 km S, 6 km W Reforma Agraria									
MXBRO305-12	CIBNOR-18641.1	2664947	18641	3151_MDLPC	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Mayra De la Paz Cuevas								F	S						27.402	-109.019			9				Mexico	Baja California Sur	Guerrero Negro	Corral de Berrendos, 61 km S, 5 km W Guerrero Negro	Corral de Berrendos, 61 km S, 5 km W Guerrero Negr									
NOMAM156-17	NHMO-DMA-192	7599918	22054		University of Oslo, Natural History Museum		BOLD:AAE3012	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus			Rene Eriksen		Pallas, 1778					Rene Eriksen							Adult	M							59.1888	11.0468							Norway	Ostfold	Fredrikstad		Torsnes	3079975|3079976	http://www.boldsystems.org/pics/NOMAM/DSC_0196+1457360446.jpg|http://www.boldsystems.org/pics/NOMAM/DSC_0197+1489420732.jpg	Lateral skull|Dorsal skull	|	|	2017|2017	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	University of Oslo, Natural History Museum|University of Oslo, Natural History Museum	|
NOMNW248-09	CIBNOR 15224	1162474	15224	736_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M.							A		S				NOM-059 Lepus californicus sheldoni	NAD27	25.826	-111.214			16				Mexico	Baja California Sur			Parte Sur, Isla Carmen									
NOMNW478-15	CIBNOR 15522	6207170	15522	759_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	535541	Lepus insularis			Ticul Alvarez	Morphology	W. Bryant, 1891		DNA/Tissue Vouchered Only	muscle		Consuelo Lorenzo M							A		S				NOM-059 Lepus insularis	NAD27	24.4152	-110.329			74				Mexico	Baja California Sur			San Gabriel, Isla Espiritu Santo									
NOMNW479-15	CIBNOR 15523	6207171	15523	760_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	535541	Lepus insularis			Ticul Alvarez	Morphology	W. Bryant, 1891		DNA/Tissue Vouchered Only			Consuelo Lorenzo M							A		S				NOM-059 Lepus insularis	NAD27	24.4152	-110.329			74				Mexico	Baja California Sur			San Gabriel, Isla Espiritu Santo									
PMBC086-11	CIBNOR 18984	1929553	18984	1573_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						24.46	-111.844							Mexico	Baja California Sur	Isla Margarita	Isla Margarita	Isla Margarita									
TOPO012-09	CIBNOR 15212	1263431	15212	744_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	F	S						24.1392	-110.437			20				Mexico	Baja California Sur	Los Cabos	2.5 km S, 12.2 km W La Paz	Desert									
TOPO016-09	CIBNOR 15506	1263435	15506	753_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						24.1667	-110.35			5				Mexico	Baja California Sur	Los Cabos	El Mogote 4 km N, 9 km E La Paz	Sandy bar									
TOPO019-09	CIBNOR 15509	1263438	15509	756_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						24.1667	-110.35			5				Mexico	Baja California Sur	Los Cabos	El Mogote 4 km N, 9 km E La Paz	Sandy bar									
TOPO028-09	CIBNOR 15187	1263447	15187	727_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	F	S						25.5593	-111.271			265				Mexico	Baja California Sur	Magdalena	Ultima Agua	Valley									
TOPO029-09	CIBNOR 15188	1263448	15188	728_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						25.5593	-111.271			265				Mexico	Baja California Sur	Magdalena	Ultima Agua	Valley									
TOPO030-09	CIBNOR 15189	1263449	15189	729_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						25.5593	-111.271			265				Mexico	Baja California Sur	Magdalena	Ultima Agua	Valley									
TOPO039-09	CIBNOR 15198	1263458	15198	705_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						25.1941	-111.551			78				Mexico	Baja California Sur	Los Cabos	Ley Federal de Agua No. 4	Desert									
TOPO042-09	CIBNOR 15207	1263461	15207	739_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						24.0545	-110.976			5				Mexico	Baja California Sur	Los Cabos	8 km N, 16.5 km W Conquista Agraria 2	Desert									
TOPO051-09	CIBNOR 15520	1263470	15520	750_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						23.5606	-110.33			4				Mexico	Baja California Sur	Los Cabos	13.5 km N, 10 km W Todos Santos	Desert									
TOPO054-09	CIBNOR 5489	1263473	5489	162_LEMM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Luis Enrique Murillo M.							A	M	S						25.0386	-111.652			39				Mexico	Baja California Sur	Magdalena	Ciudad Constitucion	Valley									
TOPO098-09	CNMA 40021	1263517	40021	FAC_1141	Universidad Nacional Autonoma de Mexico, Instituto de Biologia		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Fernando A. Cervantes		Gray, 1837					F. A. Cervantes								F	S						26.6751	-103.75			1230				Mexico	Durango	Gomez Palacio	Reserva de la Biosfera Mapimi, 140 Km NE	Desert									
TOPO100-09	CNMA 37146	1263519	37146	FAC_784	Universidad Nacional Autonoma de Mexico, Instituto de Biologia		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Fernando A. Cervantes		Gray, 1837					F. A. Cervantes								F	S						24.4533	-110.343			10				Mexico	Baja California Sur	Isla Espiritu Santo	Isla Espiritu Santo	Island									
TOPO102-09	CIBNOR 15513	1263521	15513	CLM_763	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	F	S						24.1611	-109.864			10				Mexico	Baja California Sur	Isla Cerralvo	Isla Cerralvo	Island									
TOPO103-09	CIBNOR 15514	1263522	15514	CLM_764	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						24.1611	-109.864			10				Mexico	Baja California Sur	Isla Cerralvo	Isla Cerralvo	Island									
TOPO104-09	CIBNOR 15515	1263523	15515	CLM_765	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	F	S						24.1611	-109.864			10				Mexico	Baja California Sur	Isla Cerralvo	Isla Cerralvo	Island									
TOPO106-09	CNMA 40823	1263525	40823	FAC_1614	Universidad Nacional Autonoma de Mexico, Instituto de Biologia		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Fernando A. Cervantes		Gray, 1837					F. A. Cervantes								M	S						27.381	-112.44			375				Mexico	Baja California Sur	Mulege	Alfredo V. Bonfil, Mulege	Mountain range									
TOPO307-10	ECO-SC-M 979	1620090	979	CLM_410	El Colegio de la Frontera Sur		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	306917	Lepus flavigularis			Jorge E. Bolanos		Wagner, 1844					Consuelo Lorenzo M							I	F	S						16.369	-94.646			48				Mexico	Oaxaca	San Dionisio del Mar	2.3 Km E de Huamuchil	Bushes									
TOPO692-12	CIBNOR-18633	2559653	18633	3359-MDLPC	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Mayra De la Paz Cuevas								F							31.6478	-115.935			1083				Mexico		Baja California Norte	Agua Blanca	0.25 km S, 3.3 km W, Agua Blanca									
TOPO697-12	CIBNOR-18888	2559658	18888	1562-CLM	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	306917	Lepus flavigularis			Ticul Alvarez		Wagner, 1844					Consuelo Lorenzo M								F							24.6539	-112.148			5				Mexico	Baja California Sur			Isla Magdalena									
VDNAN045-21	15-2	13140000	15-2	LAG140602AS1	Museo Regionale di Scienze Naturali Efisio Noussan, Regione Autonoma Valle d'Aosta		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus				Morphology	Linnaeus, 1758			Muscle		Corpo Forestale della Valle d'Aosta				Punti Convertiti Geografiche - Lon.: 7,11722 Lat.: 45,765267 UTM (ED50) - X: 353679,76 Y: 5069890,05 Quota : 2205 [m slm]									animal found dead	http://osservatoriobiodiversita.regione.vda.it	45.7653	7.11722	https://mappe.regione.vda.it/	500	2205		10		Italy		Aosta Valley	Avise	Bard									
GBMA15321-17	KP735361	8456495	MVZ:8423	KP735361	Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA15337-17	KP735350	8456511	MVZ:12570	KP735350	Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA15346-17	KP735346	8456520	MVZ:14509	KP735346	Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA22401-19	KP735365	9790071			Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA22402-19	KP735366	9790072			Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA22491-19	KU250082	9790161			Mined from GenBank, NCBI		BOLD:AAE3012	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus					Pallas, 1778																																									
GBMA22494-19	KU250085	9790164			Mined from GenBank, NCBI		BOLD:ADW6318	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus					Pallas, 1778																																									
GBMA22495-19	KU250086	9790165			Mined from GenBank, NCBI		BOLD:ADW6318	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus					Pallas, 1778																																									
GBMA22507-19	KY211032	9790177			Mined from GenBank, NCBI		BOLD:AAE3012	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus					Pallas, 1778																																									
GBMA4678-13	HM233194	3578541	HM233194	HM233194	Mined from GenBank, NCBI		BOLD:ACH3541	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4687-13	HM233185	3578550	HM233185	HM233185	Mined from GenBank, NCBI		BOLD:ACH3276	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666073	Lepus yarkandensis																																														
GBMA4691-13	HM233181	3578554	HM233181	HM233181	Mined from GenBank, NCBI		BOLD:ACH3276	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666073	Lepus yarkandensis																																														
GBMA4705-13	HM233167	3578568	HM233167	HM233167	Mined from GenBank, NCBI		BOLD:ACF0735	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4710-13	HM233162	3578573	HM233162	HM233162	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4711-13	HM233161	3578574	HM233161	HM233161	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4715-13	HM233157	3578578	HM233157	HM233157	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4716-13	HM233156	3578579	HM233156	HM233156	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4717-13	HM233155	3578580	HM233155	HM233155	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4723-13	HM233149	3578586	HM233149	HM233149	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																																									
GBMA4729-13	HM233143	3578592	HM233143	HM233143	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																																									
GBMA4731-13	HM233141	3578594	HM233141	HM233141	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																																									
GBMA4736-13	HM233136	3578599	HM233136	HM233136	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																																									
GBMA4739-13	HM233133	3578602	HM233133	HM233133	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																																									
GBMA4740-13	HM233132	3578603	HM233132	HM233132	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																																									
GBMA4755-13	HM233116	3578618	HM233116	HM233116	Mined from GenBank, NCBI		BOLD:ACH3576	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666071	Lepus comus																																														
GBMA4757-13	HM233114	3578620	HM233114	HM233114	Mined from GenBank, NCBI		BOLD:ACH3576	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666071	Lepus comus																																														
GBMA4762-13	HM233108	3578625	HM233108	HM233108	Mined from GenBank, NCBI		BOLD:ACH3277	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	666070	Lepus oiostolus																																														
GBMA4776-13	HM233094	3578639	HM233094	HM233094	Mined from GenBank, NCBI		BOLD:ACH3275	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648658	Lepus hainanus																																														
GBMA9933-15	KR030069	6171175	LT228COM	KR030069	Mined from GenBank, NCBI		BOLD:AAJ1380	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																		taxon:62621																							
GBMNA12983-19	KM609214	9630076		KM609214	Mined from GenBank, NCBI		BOLD:ACF0735	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	142633	Lepus tolai					Pallas, 1778																																									
GBMND20010-21	MN175841	12797115		MN175841	Mined from GenBank, NCBI		BOLD:AEH4747	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis	1069472	Lepus capensis mediterraneus																															Morocco													
GBMND20024-21	MN175852	12797129		MN175852	Mined from GenBank, NCBI		BOLD:AEH8442	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	1069474	Lepus schlumbergeri																									28.6876	-8.81721	Coordinates from country centroid						Morocco													
GBMNF2396-22	OL374035	15264827	KS13	OL374035	Mined from GenBank, NCBI		BOLD:ACH3276	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2405-22	OL374022	15264836	TX16	OL374022	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2412-22	OL374012	15264843	TX23	OL374012	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMNF2418-22	OL374018	15264849	TX29	OL374018	Mined from GenBank, NCBI		BOLD:ACH3374	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	914570	Lepus tibetanus																																														
GBMTG5070-16	NC_024043	6963443		NC_024043	Mined from GenBank, NCBI		BOLD:ADC8248	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	708393	Lepus americanus																																														
GBMTG5072-16	NC_024042	6963445		NC_024042	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	708184	Lepus granatensis																																														
LEBA008-19	LC_218_LEB	10589122	LC_218_LEB	LC_218_LEB	Universite Saint-Joseph			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis					Linnaeus, 1758																												Lebanon													
MPBM037-17	Mamm4	7525925	NMW 69075		Naturhistorisches Museum Wien		BOLD:AAE3012	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus			Stephan Koblmueller		Pallas, 1778					`Kleine Wildtiere in grosser Not`																							Austria	Styria	Graz-Umgebung											
