processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBMA4737-13	HM233135	3578600	HM233135	HM233135	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																																									
GBMA4738-13	HM233134	3578601	HM233134	HM233134	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																																									
GBMA4770-13	HM233100	3578633	HM233100	HM233100	Mined from GenBank, NCBI		BOLD:ACH3275	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648658	Lepus hainanus																																														
GBMA9932-15	KR019013	6171174		KR019013	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																		taxon:62621																							
GBMA9934-15	KR030070	6171176	LT004COM	KR030070	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																		taxon:62621																							
GBMNA12977-19	KF040450	9630070		KF040450	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	708183	Lepus coreanus																																														
GBMNA12978-19	KJ397605	9630071		KJ397605	Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	112231	Lepus timidus					Linnaeus, 1758																				65.0158	25.6574	Coordinates from country centroid						Finland													
GBMNA12979-19	KJ397609	9630072		KJ397609	Mined from GenBank, NCBI		BOLD:ADC8525	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	708185	Lepus townsendii																									38.8208	-96.3316	Coordinates from country centroid						United States													
GBMND20011-21	MN175842	12797116		MN175842	Mined from GenBank, NCBI		BOLD:AEH4747	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis	1069472	Lepus capensis mediterraneus																															Morocco													
GBMND20017-21	MN175848	12797122		MN175848	Mined from GenBank, NCBI		BOLD:AEH4747	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	456585	Lepus capensis	1069472	Lepus capensis mediterraneus																															Morocco													
